customer_id,signup_date,churn_month,monthly_charges,total_charges,payment_type_id,payment_type,contract_type_id,contract_type,gender,senior_citizen,partner,dependents,paperless_billing,phone_service,multiple_lines,internet_service_type_id,internet_service_type,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
0106-GHRQR,"2020-09-21 18:07:34",NULL,71.4,1212.1,3,"Bank transfer (automatic)",1,Month-to-month,Male,0,No,No,Yes,Yes,Yes,1,DSL,No,Yes,Yes,No,No,Yes
0106-UGRDO,"2016-04-21 18:07:34",NULL,116,8182.85,1,"Electronic check",3,"Two year",Female,0,Yes,No,Yes,Yes,Yes,2,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes
0107-WESLM,"2021-12-21 18:07:34",2022-01-31,19.85,19.85,1,"Electronic check",1,Month-to-month,Male,0,No,No,Yes,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0107-YHINA,"2021-12-21 18:07:34",2022-01-31,99.75,99.75,1,"Electronic check",1,Month-to-month,Male,0,No,Yes,Yes,Yes,Yes,2,"Fiber optic",No,No,Yes,No,Yes,Yes
0111-KLBQG,"2019-05-21 18:07:34",NULL,93.95,2861.45,2,"Mailed check",1,Month-to-month,Male,1,Yes,Yes,Yes,Yes,No,2,"Fiber optic",No,Yes,No,No,Yes,Yes
0112-QAWRZ,"2020-09-21 18:07:34",NULL,90.8,1442.2,3,"Bank transfer (automatic)",1,Month-to-month,Male,0,Yes,Yes,Yes,Yes,Yes,2,"Fiber optic",No,No,Yes,No,Yes,No
0112-QWPNC,"2017-12-21 18:07:34",2022-01-31,84.35,4059.35,1,"Electronic check",2,"One year",Male,0,Yes,No,No,Yes,Yes,1,DSL,Yes,No,Yes,Yes,Yes,Yes
0114-IGABW,"2016-02-21 18:07:34",NULL,58.25,4145.9,3,"Bank transfer (automatic)",3,"Two year",Female,0,Yes,No,No,No,"No phone service",1,DSL,No,Yes,Yes,Yes,Yes,Yes
0114-PEGZZ,"2019-04-21 18:07:34",NULL,107.55,3645.5,1,"Electronic check",1,Month-to-month,Female,0,No,No,No,Yes,Yes,2,"Fiber optic",No,Yes,Yes,No,Yes,Yes
0114-RSRRW,"2021-03-21 18:07:34",NULL,19.95,187.75,3,"Bank transfer (automatic)",1,Month-to-month,Female,0,Yes,No,Yes,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0115-TFERT,"2020-04-21 18:07:34",2022-01-31,111.2,2317.1,1,"Electronic check",1,Month-to-month,Male,0,Yes,No,Yes,Yes,Yes,2,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes
0117-LFRMW,"2018-12-21 18:07:34",2022-01-31,40.2,1448.8,3,"Bank transfer (automatic)",1,Month-to-month,Male,0,Yes,Yes,No,No,"No phone service",1,DSL,Yes,Yes,Yes,No,No,No
0118-JPNOY,"2019-11-21 18:07:34",NULL,85.8,2193.65,4,"Credit card (automatic)",1,Month-to-month,Female,1,No,No,Yes,Yes,No,2,"Fiber optic",Yes,No,No,No,Yes,No
0121-SNYRK,"2017-11-21 18:07:34",NULL,35.4,1748.9,2,"Mailed check",2,"One year",Male,0,No,No,Yes,No,"No phone service",1,DSL,Yes,No,No,Yes,No,No
0122-OAHPZ,"2021-06-21 18:07:34",2022-01-31,73.85,511.25,1,"Electronic check",1,Month-to-month,Female,0,No,No,Yes,Yes,Yes,2,"Fiber optic",No,No,No,No,No,No
0123-CRBRT,"2016-12-21 18:07:34",NULL,88.1,5526.75,2,"Mailed check",3,"Two year",Female,0,Yes,Yes,No,Yes,Yes,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0125-LZQXK,"2020-10-21 18:07:34",2022-01-31,101.35,1553.95,1,"Electronic check",1,Month-to-month,Male,0,No,No,Yes,Yes,No,2,"Fiber optic",No,No,Yes,Yes,Yes,Yes
0128-MKWSG,"2019-11-21 18:07:34",NULL,45.8,1147,2,"Mailed check",1,Month-to-month,Female,0,No,Yes,No,No,"No phone service",1,DSL,Yes,No,No,Yes,No,Yes
0129-KPTWJ,"2016-01-21 18:07:34",NULL,94.65,6747.35,1,"Electronic check",1,Month-to-month,Male,0,Yes,No,Yes,Yes,No,2,"Fiber optic",No,No,Yes,No,Yes,Yes
0129-QMPDR,"2018-05-21 18:07:34",NULL,20.5,865.05,3,"Bank transfer (automatic)",2,"One year",Male,0,Yes,Yes,Yes,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0130-SXOUN,"2016-07-21 18:07:34",NULL,89.4,5976.9,4,"Credit card (automatic)",1,Month-to-month,Male,0,No,No,No,Yes,Yes,2,"Fiber optic",No,Yes,No,No,No,Yes
0133-BMFZO,"2021-11-21 18:07:34",2022-01-31,86.25,181.65,1,"Electronic check",1,Month-to-month,Female,0,No,No,Yes,Yes,No,2,"Fiber optic",Yes,Yes,No,Yes,No,No
0134-XWXCE,"2018-05-21 18:07:34",NULL,74.85,3268.05,3,"Bank transfer (automatic)",2,"One year",Female,1,No,No,No,Yes,No,1,DSL,No,No,Yes,Yes,Yes,Yes
0135-NMXAP,"2021-01-21 18:07:34",2022-01-31,89.75,1052.4,3,"Bank transfer (automatic)",1,Month-to-month,Female,0,No,No,Yes,Yes,Yes,2,"Fiber optic",No,Yes,No,No,Yes,No
0136-IFMYD,"2016-04-21 18:07:34",NULL,109.95,7634.25,1,"Electronic check",3,"Two year",Male,1,Yes,No,Yes,Yes,Yes,2,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes
0137-OCGAB,"2021-12-21 18:07:34",2022-01-31,80.2,80.2,2,"Mailed check",1,Month-to-month,Female,0,No,No,Yes,Yes,Yes,2,"Fiber optic",No,Yes,No,No,No,No
0137-UDEUO,"2021-10-21 18:07:34",2022-01-31,19.85,63.75,2,"Mailed check",1,Month-to-month,Female,0,No,No,No,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0139-IVFJG,"2021-11-21 18:07:34",NULL,90.35,190.5,1,"Electronic check",1,Month-to-month,Female,0,Yes,No,No,Yes,No,2,"Fiber optic",Yes,Yes,No,No,Yes,No
0141-YEAYS,"2019-10-21 18:07:34",NULL,86.45,2401.05,3,"Bank transfer (automatic)",1,Month-to-month,Female,1,No,No,Yes,Yes,Yes,2,"Fiber optic",No,Yes,Yes,No,No,No
0142-GVYSN,"2019-11-21 18:07:34",NULL,20.3,511.25,1,"Electronic check",1,Month-to-month,Male,0,No,No,Yes,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0147-ESWWR,"2018-10-21 18:07:34",NULL,101.25,3949.15,1,"Electronic check",1,Month-to-month,Female,1,Yes,No,Yes,Yes,Yes,2,"Fiber optic",No,No,No,Yes,Yes,Yes
0148-DCDOS,"2019-12-21 18:07:34",2022-01-31,94.7,2362.1,3,"Bank transfer (automatic)",1,Month-to-month,Male,0,No,No,Yes,Yes,Yes,2,"Fiber optic",No,No,No,No,Yes,Yes
0151-ONTOV,"2021-12-21 18:07:34",2022-01-31,70.9,70.9,2,"Mailed check",1,Month-to-month,Female,0,No,No,No,Yes,No,2,"Fiber optic",No,No,No,No,No,No
0156-FVPTA,"2020-03-21 18:07:34",2022-01-31,54.2,1152.7,1,"Electronic check",1,Month-to-month,Male,0,Yes,No,Yes,Yes,No,1,DSL,Yes,No,No,Yes,No,No
0164-APGRB,"2016-01-21 18:07:34",NULL,114.9,8496.7,1,"Electronic check",3,"Two year",Female,0,No,No,Yes,Yes,Yes,2,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes
0164-XAIRP,"2020-01-21 18:07:34",NULL,19.55,470.2,3,"Bank transfer (automatic)",3,"Two year",Female,0,No,No,Yes,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0168-XZKBB,"2020-06-21 18:07:34",NULL,86.85,1564.4,1,"Electronic check",1,Month-to-month,Female,0,Yes,No,Yes,Yes,Yes,2,"Fiber optic",No,No,No,No,Yes,No
0174-QRVVY,"2016-02-21 18:07:34",NULL,25.35,1847.55,4,"Credit card (automatic)",3,"Two year",Male,0,Yes,Yes,No,Yes,Yes,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0177-PXBAT,"2019-04-21 18:07:34",NULL,109.9,3694.7,3,"Bank transfer (automatic)",1,Month-to-month,Male,1,Yes,No,Yes,Yes,Yes,2,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes
0178-CIIKR,"2021-10-21 18:07:34",NULL,19.95,58,2,"Mailed check",1,Month-to-month,Female,0,No,No,No,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0178-SZBHO,"2018-02-21 18:07:34",NULL,87.2,4017.45,1,"Electronic check",1,Month-to-month,Male,0,Yes,Yes,No,Yes,Yes,2,"Fiber optic",No,Yes,No,No,Yes,No
0181-RITDD,"2016-11-21 18:07:34",NULL,108.15,6825.65,2,"Mailed check",3,"Two year",Male,0,Yes,Yes,No,Yes,No,2,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes
0186-CAERR,"2016-02-21 18:07:34",NULL,116.3,8309.55,3,"Bank transfer (automatic)",2,"One year",Male,0,No,No,Yes,Yes,Yes,2,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes
0187-QSXOE,"2021-06-21 18:07:34",NULL,89,605.45,1,"Electronic check",1,Month-to-month,Male,1,Yes,No,Yes,Yes,No,2,"Fiber optic",No,No,No,No,Yes,Yes
0187-WZNAB,"2019-10-21 18:07:34",NULL,74.4,1972.35,2,"Mailed check",1,Month-to-month,Female,0,Yes,Yes,No,Yes,No,2,"Fiber optic",Yes,No,No,No,No,No
0188-GWFLE,"2021-11-21 18:07:34",NULL,20.05,33.7,2,"Mailed check",1,Month-to-month,Male,0,No,No,No,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0191-EQUUH,"2019-12-21 18:07:34",NULL,35.05,844.45,3,"Bank transfer (automatic)",3,"Two year",Female,0,No,Yes,No,No,"No phone service",1,DSL,Yes,No,No,Yes,No,No
0191-ZHSKZ,"2019-07-21 18:07:34",NULL,74.75,2111.3,1,"Electronic check",1,Month-to-month,Male,1,No,No,Yes,Yes,No,1,DSL,Yes,Yes,No,No,Yes,Yes
0193-ESZXP,"2017-03-21 18:07:34",2022-01-31,105.5,6205.5,4,"Credit card (automatic)",2,"One year",Female,1,Yes,No,Yes,Yes,No,2,"Fiber optic",Yes,Yes,No,Yes,Yes,Yes
0195-IESCP,"2021-03-21 18:07:34",2022-01-31,85.25,855.3,1,"Electronic check",1,Month-to-month,Male,0,Yes,No,Yes,Yes,Yes,2,"Fiber optic",No,No,No,No,No,Yes
0196-JTUQI,"2021-04-21 18:07:34",NULL,75.2,633.85,4,"Credit card (automatic)",1,Month-to-month,Female,0,No,No,Yes,Yes,Yes,2,"Fiber optic",No,No,No,No,No,No
0196-VULGZ,"2021-07-21 18:07:34",2022-01-31,84.35,474.9,1,"Electronic check",1,Month-to-month,Female,1,Yes,No,Yes,Yes,Yes,2,"Fiber optic",No,No,No,No,No,Yes
0197-PNKNK,"2016-04-21 18:07:34",NULL,84.45,5848.6,3,"Bank transfer (automatic)",2,"One year",Female,0,Yes,Yes,No,Yes,Yes,2,"Fiber optic",Yes,No,Yes,No,No,No
0201-MIBOL,"2016-07-21 18:07:34",NULL,102.4,6471.85,3,"Bank transfer (automatic)",3,"Two year",Female,1,No,No,Yes,Yes,Yes,2,"Fiber optic",Yes,No,No,No,Yes,Yes
0201-OAMXR,"2016-03-21 18:07:34",2022-01-31,115.55,8127.6,4,"Credit card (automatic)",2,"One year",Female,0,No,No,No,Yes,Yes,2,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes
0203-HHYIJ,"2019-12-21 18:07:34",2022-01-31,25.3,676.35,3,"Bank transfer (automatic)",2,"One year",Male,0,No,No,No,Yes,Yes,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0206-OYVOC,"2018-03-21 18:07:34",NULL,19.25,864.2,2,"Mailed check",3,"Two year",Female,0,Yes,Yes,Yes,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0206-TBWLC,"2017-07-21 18:07:34",NULL,114.65,6049.5,2,"Mailed check",2,"One year",Female,0,Yes,No,Yes,Yes,Yes,2,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes
0207-MDKNV,"2020-10-21 18:07:34",2022-01-31,105.1,1582.75,1,"Electronic check",1,Month-to-month,Female,0,No,No,No,Yes,No,2,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes
0208-BPQEJ,"2021-01-21 18:07:34",NULL,19.4,198.1,3,"Bank transfer (automatic)",1,Month-to-month,Female,0,Yes,Yes,No,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0212-ISBBF,"2020-03-21 18:07:34",NULL,50.35,1098.85,1,"Electronic check",1,Month-to-month,Female,0,No,No,Yes,No,"No phone service",1,DSL,No,Yes,No,No,Yes,Yes
0214-JHPFW,"2016-03-21 18:07:34",NULL,57.8,4039.3,3,"Bank transfer (automatic)",3,"Two year",Female,0,Yes,No,No,No,"No phone service",1,DSL,No,Yes,Yes,Yes,Yes,Yes
0215-BQKGS,"2019-07-21 18:07:34",NULL,84.3,2438.6,4,"Credit card (automatic)",1,Month-to-month,Male,0,No,No,Yes,Yes,No,2,"Fiber optic",Yes,Yes,Yes,No,No,No
0218-QNVAS,"2016-02-21 18:07:34",NULL,100.55,7113.75,3,"Bank transfer (automatic)",2,"One year",Male,0,Yes,Yes,No,Yes,Yes,2,"Fiber optic",No,Yes,No,No,Yes,Yes
0219-QAERP,"2019-07-21 18:07:34",NULL,19.8,576.65,4,"Credit card (automatic)",2,"One year",Male,0,Yes,No,No,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0219-YTZUE,"2021-09-21 18:07:34",2022-01-31,84.8,371.9,3,"Bank transfer (automatic)",1,Month-to-month,Male,0,Yes,Yes,Yes,Yes,Yes,2,"Fiber optic",No,Yes,Yes,No,No,No
0220-EBGCE,"2021-11-21 18:07:34",2022-01-31,85.85,167.3,1,"Electronic check",1,Month-to-month,Male,0,No,No,Yes,Yes,No,2,"Fiber optic",No,No,Yes,No,No,Yes
0221-NAUXK,"2021-03-21 18:07:34",NULL,19.95,219.5,3,"Bank transfer (automatic)",2,"One year",Male,0,No,Yes,Yes,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0221-WMXNQ,"2021-09-21 18:07:34",NULL,75.35,273.4,1,"Electronic check",1,Month-to-month,Male,1,No,No,No,Yes,No,2,"Fiber optic",Yes,No,No,No,No,No
